Company Name,Email Domain,Email,Source
Khalifa Steel Industries W.L.L.,khalifasteel.com,fathi@khalifasteel.com,Cares UK
Kingscote Post-tensioning Ltd (Part of the Morrisroe Group.),morrisroe.co.uk,stuart.martin@morrisroe.co.uk,Cares UK
Klöckner & Co,www.kloeckner.com,,Eurometal
Knauf Interfer,www.knauf-interfer.de/home.html,,Eurometal
Knauf Interfer SSC (DE),www.knauf-interfer.de/home.html,,Eurometal
Kocaer Steel UK Ltd,kocaersteel.com,salih.kurtoglu@kocaersteel.com,Cares UK
Kovintrade,www.kovintrade.com,,Eurometal
Kroman Celik Sanayii A.S.,kromancelik.com.tr,Ali.Ozturk@kromancelik.com.tr,Cares UK
Kromat Trading Ltd,kromat.com,sb@kromat.com,Cares UK
Kübler HeizWerk,www.kuebler-hallenheizungen.de/de,,Eurometal
L M Products Limited,lmproducts.co.uk,Alex@lmproducts.co.uk,Cares UK
Lemon Groundwork Solutions Ltd,lemon-gs.co.uk,james.gleadell@lemon-gs.co.uk,Cares UK
Leviat Ltd,ancon.co.uk,ALennox@ancon.co.uk,Cares UK
Leviat Sdn. Bhd,leviat.com,rozita.mohamadyunus@leviat.com,Cares UK
Liberty Steel,libertysteelgroup.com,mark.hesling@libertysteelgroup.com,Cares UK
LinkStud PSR LTD,brooksforgings.co.uk,l.grosvenor@brooksforgings.co.uk,Cares UK
London Metal Exchange,www.lme.com,,Eurometal
Loveld NV,loveld.com,jo@loveld.com,Cares UK
M7 Metals AG (UK),m7metals.com,zack.newman@m7metals.com,Cares UK
MAFE,www.mafe2000.hu,,Eurometal
MAKLADA Groupe,maklada.com,rahma.youssef@maklada.com,Cares UK
MASTERSON HOLDINGS,getjar.co.uk,andrew.chowings@getjar.co.uk,Cares UK
MCB (NL),www.mcb.nl,,Eurometal
MCB International,www.mcb-international.nl,,Eurometal
MEGASA Group,megasa.com,,Eurofer
Manuchar Steel,www.manuchar.com,,Eurometal
Marcegaglia Carbon Steel (IT),www.marcegaglia.com,,Eurometal
Marcegaglia Carbon Steel S.p.A. - Ravenna Plant,marcegaglia.com,michele.manaresi@marcegaglia.com,Cares UK
Marcegaglia Carbon Steel S.p.A. Casalmaggiore,marcegaglia.com,guido.moreschi@marcegaglia.com,Cares UK
Marcegaglia Carbon Steel S.p.A. Dusino Plant,marcegaglia.com,diego.cottino@marcegaglia.com,Cares UK
Marcegaglia Stainless Sheffield LTD. (ASR Rod Mill & Sheffield Stainless Bar),marcegaglia.com,Robert.Cutts@marcegaglia.com,Cares UK
Marcegaglia Stainless Sheffield LTD. (Sheffield Stainless Bar),marcegaglia.com,Robert.Cutts@marcegaglia.com,Cares UK
Marinho Steel,www.marinhosteel.com,,Eurometal
Maroc Fer,marocfer.com,o.charfi@marocfer.com,Cares UK
Max Frank Ltd,maxfrank.co.uk,a.starkey@maxfrank.co.uk,Cares UK
Megamalla S.L.,megasa.es,batienza@megasa.es,Cares UK
Megasa Siderúrgica SL,megasa.es,batienza@megasa.es,Cares UK
Megasider Zaragoza,megasa.es,jmgranados@megasa.es,Cares UK
Megasteel Ltd,megasteel.co.uk,admin@megasteel.co.uk,Cares UK
Mescier Demir Celik Sanayi ve Ticaret. A.S,mescier.com.tr,cagri.aloglu@mescier.com.tr,Cares UK
Metais Jaime Dias,www.mjd.pt,,Eurometal
Metalogalva,metalogalva.pt/en,,Eurometal
Metinvest Europe,metinvestholding.com,,Eurofer
Metinvest Western Europe,www.metinvestholding.com/en,,Eurometal
Mi-King (CZ),www.mi-king.cz,,Eurometal
Midland Steel Reinforcement Supplies UK Ltd,midlandsteeluk.com,stuart@midlandsteeluk.com,Cares UK
Minova International Limited,minovaint.com,lee.hudson@minovaint.com,Cares UK
Modern Steel Mills LLC,modernsteeloman.com,msm@modernsteeloman.com,Cares UK
Moore Concrete Products Ltd,moore-concrete.com,Neil.moore@moore-concrete.com,Cares UK
Mugafil S.A.,mugafil.com,ibon@mugafil.com,Cares UK
Mullinsallagh Ltd T/A OBConstruction & Eden Fabrications,edenfabrications.com,niamh.mcatamney@edenfabrications.com,Cares UK
Muscat Steel Industries Co LLC,gmail.com,muscatsteel@gmail.com,Cares UK
Muscat Steel Melting Co LLC,muscatsteel.com,sreedhar@muscatsteel.com,Cares UK
NASS,www.nass.org.uk,,Eurometal
NLMK Europe,nlmk.com,,Eurofer
NLMK Europe SSC (EU),eu.nlmk.com/en,,Eurometal
NatSteel Holdings Pte Ltd,natsteel.com.sg,NKLOON@natsteel.com.sg,Cares UK
National Steel Company Ltd (Dammam,altuwairqi.com,dowla@altuwairqi.com,Cares UK
Neotrex Steel Limited.,jsw.in,sreenivasa.reddy@jsw.in,Cares UK
Novus Precast Pty Ltd,novusprecast.com.au,norm@novusprecast.com.au,Cares UK
O.R.I. Martin Spa - Ospitaletto,orimartin.it,sara.cosci@orimartin.it,Cares UK
OPR Services Ltd & Haddon Metals DMCC,oprgroup.co.uk,oroe@oprgroup.co.uk,Cares UK
Officine Tecnosider,officinetecnosider.it,aoliva@officinetecnosider.it,Cares UK
Olifer S.R.L.,olifer.it,m.tonni@olifer.it,Cares UK
Osman Sonmez Insaat Taahhut Ticaret,habas.com.tr,tuna.beydogan@habas.com.tr,Cares UK
Outokumpu Oyj,outokumpu.com,,Eurofer
POSCO Europe,www.posco.com,,Eurometal
PPI Engineering Pte Ltd,coninco.com.sg,kelvin.tee@coninco.com.sg,Cares UK
PPI Engineering Systems Pte Ltd,coninco.com.sg,senthil@coninco.com.sg,Cares UK
PRAETER Engineering Limited,praeterengineering.co.uk,suren@praeterengineering.co.uk,Cares UK
PRIMEX Steel Trading (Spaeter Group),www.primex-steel.de,,Eurometal
PUDS,www.puds.pl,,Eurometal
Pesmel Corporation,pesmel.com/industry/metal-industry,,Eurometal
Phoenix Specialist Contracting Ltd,phoenixsc.co.uk,alistair@phoenixsc.co.uk,Cares UK
Poland: HIPH - Polish Steel Association,,,Eurofer
Presider Armatures Sas,it.feralpigroup.com,giorgio.oprandi@it.feralpigroup.com,Cares UK
Qatar Steel Company FZE,qatarsteel.ae,manoj@qatarsteel.ae,Cares UK
RCG,rcg-ag.com,,Eurometal
RCT Stevedoring,www.rct-stevedoring.com,,Eurometal
RFA-TECH Limited,rom.co.uk,michael.whyte@rom.co.uk,Cares UK
RFA-Tech Ltd,rfa-tech.co.uk,sales@rfa-tech.co.uk,Bar UK
ROM Group Limited,gcelsa.com,Alan.vincent@gcelsa.com,Cares UK
ROM UK Ltd,rom.co.uk,sales@rom.co.uk,Bar UK
ROMTECH Ltd.,rom-tech.co.uk,rodney_morrow@rom-tech.co.uk,Cares UK
ROMTECH Ltd.,rom.co.uk,kevin_lloyd@rom.co.uk,Cares UK
RSJ Steels (Lincoln) Ltd.,hotmail.com,andystaf@hotmail.com,Cares UK
Raajratna Metal Industries Ltd.,raajratna.com,abpagar@raajratna.com,Cares UK
Rainham Steel Company Limited,rainhamsteel.co.uk,bryan@rainhamsteel.co.uk,Cares UK
Rainham Steel Company Ltd,rainhamsteel.co.uk,bryan.lawrence@rainhamsteel.co.uk,Cares UK
Red Sea Steel Co. Ltd,redseasteel.sa,allan@redseasteel.sa,Cares UK
Reinforcement Solutions Ltd,total-group.co.uk,john.Gilby@total-group.co.uk,Cares UK
Reinforcement Solutions Ltd (Site E),total-group.co.uk,john.Gilby@total-group.co.uk,Cares UK
Resourex,resourex.com,,Eurometal
Ribar Industries Pte Ltd,ribar.sg,yeohocklim@ribar.sg,Cares UK
Riva Forni Elettrici S.p.A.,rivagroup.com,,Eurofer
Rockcheck Steel Group Co.Ltd,163.com,yuanzicheng2006@163.com,Cares UK
Rodacciai S.p.A.,rodacciai.com,alessandro.alcamo@rodacciai.com,Cares UK
Rom Limited,rom.co.uk,michael.whyte@rom.co.uk,Cares UK
Romania: Romanian Steel Producer Union (UniRomSider),,,Eurofer
Ronly Ltd,ronly.com,daniel.costanzo@ronly.com,Cares UK
S W Steel Trading Ltd,southwalessteel.co.uk,richard@southwalessteel.co.uk,Cares UK
SAM Montereau S.A.S,rivagroup.com,baptiste.boisseau@rivagroup.com,Cares UK
SHIU Wing Steel Limited,shiuwingsteel.com,kilian@shiuwingsteel.com,Cares UK
SIDMA Steel,sidma.gr,,Eurometal
SIDMA Steel (GR),sidma.gr,,Eurometal
SIJ Slovenian Steel Group,sij.si,,Eurofer
SIKA Ltd,uk.sika.com,hassan.tariq@uk.sika.com,Cares UK
SLC,www.slc-wien.at,,Eurometal
SN Maia - Siderurgia Nacional,megasa.pt,acanelas@megasa.pt,Cares UK
SOLB Steel Company,solbsteel.com,ahmed.ramadan@solbsteel.com,Cares UK
SPA Algerian Qatari Steel AQS,aqs.dz,ahmed.bouakkaz@aqs.dz,Cares UK
SSAB AB,ssab.com,,Eurofer
SSAB Swedish Steel,ssab.com,,Eurometal
SSHV,www.sshv.ch,,Eurometal
STAHLO Stahlservice (DE),www.stahlo.de,,Eurometal
Saarstahl AG,saarstahl.com,saarstahl@saarstahl.com,Eurofer
Salalah Steel Industries Co LLC,salalahsteel.com,volkan@salalahsteel.com,Cares UK
Salzgitter AG,salzgitter-ag.com,info@salzgitter-ag.com,Eurofer
Salzgitter Mannesmann Stahlservice (DE),www.salzgitter-ssc.de,,Eurometal
Shanxi Taigang Stainless Steel Co. Ltd.,baowugroup.com,yuangang_hk7142@baowugroup.com,Cares UK
Shattaf Steel Ind. Co. LLC,shattafsteel.ae,qc@shattafsteel.ae,Cares UK
Shay Murtagh Precast Ltd.,shaymurtagh.com,donal@shaymurtagh.com,Cares UK
Siddall & Hilton Products Limited,sandhp.com,jharrison@sandhp.com,Cares UK
Sidenor SA - Greece,sidenor.com,info@sidenor.com,Eurofer
Siderurgica Sevillana. S.A,rivagroup.com,carlos.sanchez@rivagroup.com,Cares UK
Silva Global Pty Ltd,silva-global.com,info@silva-global.com,Cares UK
